area,perimeter,compactness,length,width,asymCoef,lengGroove,Class
19.15,16.45,0.889,6.245,3.815,3.0839999999999996,6.185,2
19.06,16.45,0.8854,6.416,3.719,2.248,6.162999999999999,2
15.57,15.15,0.8527,5.92,3.2310000000000003,2.64,5.879,2
18.14,16.12,0.8772,6.059,3.563,3.6189999999999998,6.011,2
19.38,16.72,0.8716,6.303,3.7910000000000004,3.678,5.965,2
20.71,17.23,0.8763,6.579,3.8139999999999996,4.4510000000000005,6.4510000000000005,2
17.12,15.55,0.8892,5.85,3.5660000000000003,2.858,5.746,2
12.1,13.15,0.8793,5.105,2.9410000000000003,2.201,5.056,3
10.91,12.8,0.8372,5.088,2.675,4.178999999999999,4.956,3
12.54,13.67,0.8425,5.4510000000000005,2.8789999999999996,3.082,5.4910000000000005,3
11.83,13.23,0.8496,5.263,2.84,5.195,5.307,3
11.4,13.08,0.8375,5.136,2.763,5.587999999999999,5.0889999999999995,3
12.11,13.27,0.8639,5.236000000000001,2.975,4.132,5.012,3
11.23,12.88,0.8511,5.14,2.795,4.325,5.003,3
13.2,13.66,0.8883,5.236000000000001,3.2319999999999998,8.315,5.056,3
13.07,13.92,0.848,5.472,2.9939999999999998,5.303999999999999,5.395,3
12.37,13.47,0.8567,5.204,2.96,3.9189999999999996,5.001,3
11.24,13.0,0.8359,5.09,2.715,3.5210000000000004,5.088,3
11.02,13.0,0.8189,5.325,2.701,6.735,5.162999999999999,3
11.82,13.4,0.8274,5.314,2.7769999999999997,4.471,5.178,3
11.18,13.04,0.8266,5.22,2.693,3.332,5.001,3
11.87,13.02,0.8795,5.132000000000001,2.9530000000000003,3.597,5.132000000000001,3
12.38,13.44,0.8609,5.218999999999999,2.989,5.472,5.045,3
11.18,12.72,0.868,5.0089999999999995,2.81,4.051,4.828,3
10.8,12.57,0.8590000000000001,4.981,2.821,4.773,5.063,3
10.82,12.83,0.8256,5.18,2.63,4.853,5.0889999999999995,3
11.14,12.79,0.8558,5.011,2.7939999999999996,6.388,5.0489999999999995,3
12.55,13.57,0.8558,5.332999999999999,2.968,4.419,5.176,3
11.81,13.45,0.8198,5.412999999999999,2.716,4.898,5.352,3
11.43,13.13,0.8335,5.176,2.719,2.221,5.132000000000001,3
12.26,13.6,0.8333,5.4079999999999995,2.833,4.756,5.36,3
12.19,13.2,0.8783,5.1370000000000005,2.9810000000000003,3.6310000000000002,4.87,3
11.75,13.52,0.8082,5.444,2.678,4.378,5.31,3
11.27,12.97,0.8419,5.088,2.763,4.309,5.0,3
11.21,13.13,0.8167,5.279,2.687,6.169,5.275,3
